peak_id,position_cm-1,intensity,height,prominence,width,method,notes,width_cm-1,left_base_cm-1,right_base_cm-1,fit_method,fit_status,fit_center_cm-1,fit_height,fit_sigma_cm-1,fit_fwhm_cm-1,fit_area,fit_r2,assignment,assignment_confidence,assignment_delta_cm-1,assignment_feature,assignment_source
peak-001,316.284,200.0,0.3460207612456747,0.11072664359861589,2.603174603174601,scipy_find_peaks,requires scientific review,0.8121904761904375,315.7491428571429,316.5613333333333,local_gaussian,success,316.13833198862477,0.2778400963821269,0.07958928927712708,0.18741845375708238,0.05542931118128374,0.35796570984152787,,,,,
peak-002,321.59,192.0,0.33217993079584773,0.0726643598615917,3.1875,scipy_find_peaks,requires scientific review,0.9944999999999595,321.122,322.1165,local_gaussian,success,321.6565332836882,0.04414497684450364,0.2165921260994403,0.5100354801281297,0.02396701192398174,0.18417418817453457,,,,,
peak-003,331.878,182.0,0.314878892733564,0.07612456747404844,1.1875,scipy_find_peaks,requires scientific review,0.3704999999999927,331.722,332.0925,local_gaussian,success,331.85104318424794,0.057199197359966786,0.03914918344847245,0.09218928192984514,0.005613097384156525,0.2436167144093968,,,,,
peak-004,348.058,180.0,0.31141868512110726,0.06920415224913495,3.75,scipy_find_peaks,requires scientific review,1.1649999999999636,347.51300000000003,348.678,local_gaussian,success,348.0209837594723,0.03542722372754258,0.2326681770092606,0.547891687055015,0.020661604362646926,0.2095170668304509,,,,,
peak-005,386.169,434.0,0.7508650519031141,0.4775086505190311,5.974025974026006,scipy_find_peaks,requires scientific review,1.8460909090909468,385.109,386.9550909090909,local_gaussian,success,386.09224149454843,0.3756833205019784,0.6845491152661974,1.6119899784158571,0.6446388294845998,0.9098162059668928,MoS2 E2g-like,medium,3.092241494548432,mos2_e2g_like,ea.materials.builtin:mos2:raman:v0.2
peak-006,405.912,578.0,1.0,0.7647058823529411,11.058695652173924,scipy_find_peaks,requires scientific review,3.4070195652174107,404.0296304347826,407.43665,local_gaussian,success,405.8477471765893,0.5749091122782141,1.3436291073660211,3.1640047550709633,1.9362816509939271,0.987968681021155,MoS2 A1g-like,medium,-2.15225282341072,mos2_a1g_like,ea.materials.builtin:mos2:raman:v0.2
peak-007,446.752,222.0,0.38408304498269896,0.12802768166089967,5.385185185185151,scipy_find_peaks,requires scientific review,1.6482370370370631,446.54096296296296,448.1892,local_gaussian,success,446.89253490128834,0.3120456485304289,0.07654634829424864,0.18025287533484824,0.059873209909162395,0.2887056864554588,,,,,
peak-008,455.012,222.0,0.38408304498269896,0.12802768166089967,34.729166666666686,scipy_find_peaks,requires scientific review,10.609395833333338,453.8134166666667,464.4228125,local_gaussian,success,456.9060597099232,0.042855271322806573,6.355250741464913,14.96547183700269,0.6826952374561309,0.38224949137025777,,,,,
peak-009,487.944,178.0,0.3079584775086505,0.07612456747404844,2.25,scipy_find_peaks,requires scientific review,0.6850000000000591,487.6653333333333,488.35033333333337,local_gaussian,success,488.07459831787577,0.12571794520049004,0.07829193996648878,0.18436342959502441,0.024671994676630782,0.13612719630062975,,,,,
